date,type,year,avg_price,size,nb_sold
2015-12-27,conventional,2015,0.95,small,9.627e+06
2015-12-20,conventional,2015,0.98,small,8.710e+06
2015-12-13,conventional,2015,0.93,small,9.855e+06
2015-12-06,conventional,2015,0.89,small,9.405e+06
2015-11-29,conventional,2015,0.99,small,8.095e+06
2015-11-22,conventional,2015,0.96,small,8.572e+06
2015-11-15,conventional,2015,0.92,small,9.908e+06
2015-11-08,conventional,2015,0.97,small,9.991e+06
2015-11-01,conventional,2015,0.97,small,1.014e+07
2015-10-25,conventional,2015,1.04,small,8.684e+06
2015-10-18,conventional,2015,0.99,small,9.162e+06
2015-10-11,conventional,2015,1.00,small,8.828e+06
2015-10-04,conventional,2015,1.02,small,8.354e+06
2015-09-27,conventional,2015,1.03,small,8.454e+06
2015-09-20,conventional,2015,1.02,small,9.422e+06
2015-09-13,conventional,2015,1.03,small,9.875e+06
2015-09-06,conventional,2015,1.02,small,1.257e+07
2015-08-30,conventional,2015,1.07,small,1.165e+07
2015-08-23,conventional,2015,1.08,small,1.128e+07
2015-08-16,conventional,2015,1.05,small,1.268e+07
2015-08-09,conventional,2015,1.05,small,1.300e+07
2015-08-02,conventional,2015,1.09,small,1.212e+07
2015-07-26,conventional,2015,1.07,small,1.220e+07
2015-07-19,conventional,2015,1.07,small,1.274e+07
2015-07-12,conventional,2015,1.07,small,1.238e+07
2015-07-05,conventional,2015,1.04,small,1.564e+07
2015-06-28,conventional,2015,1.06,small,1.330e+07
2015-06-21,conventional,2015,1.02,small,1.470e+07
2015-06-14,conventional,2015,0.98,small,1.638e+07
2015-06-07,conventional,2015,1.00,small,1.653e+07
2015-05-31,conventional,2015,1.03,small,1.550e+07
2015-05-24,conventional,2015,1.04,small,1.600e+07
2015-05-17,conventional,2015,1.06,small,1.462e+07
2015-05-10,conventional,2015,1.02,small,1.622e+07
2015-05-03,conventional,2015,0.96,small,1.779e+07
2015-04-26,conventional,2015,1.07,small,1.383e+07
2015-04-19,conventional,2015,1.03,small,1.425e+07
2015-04-12,conventional,2015,1.02,small,1.479e+07
2015-04-05,conventional,2015,1.06,small,1.394e+07
2015-03-29,conventional,2015,1.04,small,1.252e+07
2015-03-22,conventional,2015,1.01,small,1.370e+07
2015-03-15,conventional,2015,1.04,small,1.315e+07
2015-03-08,conventional,2015,1.02,small,1.301e+07
2015-03-01,conventional,2015,0.97,small,1.328e+07
2015-02-22,conventional,2015,1.02,small,1.263e+07
2015-02-15,conventional,2015,1.03,small,1.263e+07
2015-02-08,conventional,2015,0.95,small,1.331e+07
2015-02-01,conventional,2015,0.89,small,1.893e+07
2015-01-25,conventional,2015,1.04,small,1.217e+07
2015-01-18,conventional,2015,1.03,small,1.186e+07
